no;period;age;sampling_weight;german_citizenship;residence_region;household_size;household_income;mainTrip_duration;mainTrip_distance
1;2006;65;0.8401;NA;Former East Germany;1 person;1944;NA;NA
2;2002;34;0.58;NA;Former West Germany;1 person;2060;13-15 days;1840.842726
3;1984;29;1.013;NA;NA;4 persons;1754;13-15 days;338.3876876
4;2008;75;0.7136;NA;Former East Germany;2 persons;2144;6-8 days;440.8918423
5;2012;59;0.85;yes;Former West Germany;2 persons;2578;30+ days;708.0480175
6;1997;70;1.267;NA;Former West Germany;1 person;784;NA;NA
7;1972;72;NA;NA;NA;1 person;839;NA;NA
8;1994;24;0.744;NA;Former West Germany;3 persons;2757;6-8 days;309.9131081
9;1973;77;NA;NA;NA;1 person;788;13-15 days;548.1162166
10;1988;44;1.068;NA;NA;3 persons;10843;13-15 days;521.420869
11;2006;73;0.6146;NA;Former West Germany;1 person;2243;13-15 days;100
12;1984;39;2.789;NA;NA;4 persons;2222;NA;NA
13;2002;38;1.87;NA;Former West Germany;3 persons;1743;5 days;150
14;1986;38;2.408;NA;NA;5+ persons;8133;13-15 days;1840.842726
15;1991;32;0.542;NA;Former West Germany;3 persons;2723;NA;NA
16;1990;48;0.964;NA;Former West Germany;4 persons;2367;20-22 days;2537.395442
17;2005;52;0.641;NA;Former West Germany;1 person;2274;9-12 days;1198.411518
18;1996;54;1.6195;NA;Former West Germany;2 persons;5655;13-15 days;1987.066695
19;1992;30;0.725;NA;Former East Germany;4 persons;3763;13-15 days;2041.433042
20;1980;19;2;NA;NA;3 persons;3111;NA;NA
21;1985;22;1.656;NA;NA;4 persons;1721;NA;NA
22;2015;35;0.92;yes;Former West Germany;2 persons;2748;NA;NA
23;1976;52;0.64;NA;NA;2 persons;1803;NA;NA
24;1993;73;1.763;NA;Former West Germany;1 person;1246;27-29 days;170.6002629
25;2000;26;0.972;NA;Former West Germany;3 persons;3696;NA;NA
26;2011;47;0.91;yes;Former West Germany;5+ persons;3598;9-12 days;183.7680339
27;2018;55;0.56;yes;Former West Germany;1 person;1650;6-8 days;719.5371174
28;1993;26;0.382;NA;Former West Germany;1 person;1821;5 days;168.2412991
29;2007;48;0.4173;NA;Former West Germany;2 persons;8847;13-15 days;1486.886789
30;1982;42;0.78;NA;NA;3 persons;3266;20-22 days;627.9537164
31;2014;68;0.48;yes;Former West Germany;2 persons;2491;20-22 days;150
32;1982;44;1.5;NA;NA;4 persons;4270;13-15 days;157.7178897
33;2016;62;0.52;yes;Former West Germany;1 person;1698;6-8 days;1920.76694
34;1977;47;1.5;NA;NA;4 persons;4110;20-22 days;141.6763933
35;1996;52;1.8438;NA;Former West Germany;3 persons;3888;9-12 days;708.0480175
36;2006;63;1.2055;NA;Former East Germany;2 persons;1645;6-8 days;201.0340788
37;1984;63;0.432;NA;NA;1 person;819;NA;NA
38;2014;27;1.53;yes;Former East Germany;4 persons;1442;NA;NA
39;2005;54;0.6165;NA;Former West Germany;2 persons;4548;13-15 days;593.0358385
40;1981;29;0.085;NA;NA;3 persons;2948;13-15 days;627.9537164
41;1974;65;0.79;NA;NA;3 persons;2374;20-22 days;369.4095466
42;1995;66;1.198;NA;Former West Germany;2 persons;2332;NA;1941.04595
43;1979;32;0.76;NA;NA;3 persons;3279;13-15 days;591.5491159
44;1973;43;NA;NA;NA;2 persons;2562;20-22 days;235.8618612
45;2014;36;1.06;yes;Former West Germany;3 persons;1967;6-8 days;183.7680339
46;2016;63;0.45;yes;Former West Germany;2 persons;2743;27-29 days;1512.359232
47;2003;28;0.763;NA;Former West Germany;1 person;1410;NA;NA
